,NSE
DET038,-0.17969945696078704
DET033,0.3827889984622397
DET027,0.2536627805289341
DET016,-0.16020600157592102
DET011,0.17997012538343837
DET009,0.03836172613465605
DET008,-0.042127982729601055
DET004,-0.1405707465323367
ARB084,
ARB063,-5.6664850567549205
ARB056,-0.31949855416974393
ARB049,0.7146867816097084
ARB048,0.44399904992547845
ARB047,
PTK014,0.08895327769396055
ARB029,
ARB006,0.22871299261572064
ARB002,0.6589459581898975
ARB013,0.7638529011381134
ARB026,0.39833637412520206
ARB034,0.26474206397042166
ARB061,-0.02965592464522615
DET021,0.3733536038702626
ARB003,0.2527358318980366
ARB015,0.4606232944036721
ARB071,0.4209438788261809
ARB025,0.7695076336116058
ARB083,0.6325581579960269
ARB028,0.23319137081092878
MDOT390,-2.2743531209591006
MDOT2892,-6.928479890642777
MDOT10428,0.7928401312829044
MDOT9178,-0.500761280175827
MDOT3970,0.7413541065343268
MDOT4932,0.7042182194651747
MDOT4011,0.22706474266795462
MDOT2954,
MDOT488,0.44631499002883923
MDOT6513,-2.9225228390923705
MDOT8488,-23.44922524117429
MDOT9682,0.8441008809158854
MDOT8706,-0.2644772971059792
MDOT8767,0.8618999803597676
MDOT1091,-0.16913160774926794
MDOT5772,0.2499074890525762
MDOT7092,0.17894716658021081
MDOT7079,0.32874533449367094
DET012,-0.8726075800754867
DET015,0.04709936055453079
MDOT335,0.5643617217262856
MDOT752,-2.025802791881839
MDOT1072,0.8466545146065629
MDOT1500,0.6468991358694678
MDOT2471,0.7945412435300331
MDOT2491,0.5026384456350692
MDOT2613,0.09076652834317378
MDOT3082,-2.225138130216014
MDOT4240,0.9082100309053354
MDOT4706,0.8180360316030808
MDOT6140,0.4499731489591652
MDOT6142,0.7841722896441321
MDOT6440,-271.2131677114705
MDOT7075,0.6617591129131876
MDOT7166,0.3902234079881538
MDOT7587,-0.0330662827235233
MDOT8955,0.6555081758840883
MDOT9734,0.5773282227693532
MDOT11328,-10.335205471538108
NSE_values.csv,
