,max-by-site,MAE_meters,RMSE_meters
count,67.0,67.0,67.0
mean,0.15447075002911387,0.15150333687208897,0.21476258209427926
std,0.4219012376667509,0.13574775155278734,0.17602053783530663
min,-1.406165413278226,0.022380552004037154,0.03733998906408122
25%,-0.01305233769233365,0.06637914643962811,0.09456713375536992
50%,0.2532539115164853,0.11890304066174397,0.17688604649148418
75%,0.4101819381425652,0.17718947752948358,0.23637302314361572
max,0.8718796640834977,0.7117887002491939,0.9307671234434671
