site_id,poly1,poly2,poly3,max-by-site,max-config,MAE_meters,RMSE_meters
ARB002,0.208705469611494,0.0998048379299988,0.1033818196286694,0.208705469611494,poly1,0.1926130637173944,0.23608697868965814
ARB003,0.4345609480668441,0.6791340749888479,0.726706775984326,0.726706775984326,poly3,0.046435559580773667,0.08330087863136208
ARB006,0.2030425398468452,0.3847986038020765,0.3848150242701234,0.3848150242701234,poly3,0.03965808189755604,0.05526410512986857
ARB013,0.294005087044238,0.3074238534275185,0.6511849383607089,0.6511849383607089,poly3,0.07300383870302533,0.09180411829624247
ARB015,0.4854557600762655,0.4362322014090305,0.4124731436405672,0.4854557600762655,poly1,0.022380552004037154,0.04009704832406218
ARB025,0.0354640515287144,-1.2412719038596194,-33.29111687037376,0.0354640515287144,poly1,0.12025290639486971,0.17140806411748064
ARB026,0.2867117428190887,0.305645715800543,-392.6410628599822,0.305645715800543,poly2,0.11841350586165844,0.15512617278712507
ARB028,0.3347119832439734,0.2149021000933543,0.1964485214872984,0.3347119832439734,poly1,0.04476477874623054,0.06468835943858717
ARB029,0.2572117608816713,0.2228750861451121,-1.7800947494573949,0.2572117608816713,poly1,0.16340966603560067,0.2013452399208305
ARB034,0.4965598798647299,0.5082307696432975,0.3265901892226358,0.5082307696432975,poly2,0.04998632413574071,0.06287469088770035
ARB047,0.5072732268103552,0.5078948290683063,0.4424184400141248,0.5078948290683063,poly2,0.02704002061448425,0.03733998906408122
ARB048,0.2329489109315105,0.2248887172617565,0.2004800883987414,0.2329489109315105,poly1,0.11890304066174397,0.16593253356074217
ARB049,0.2160441430673565,0.1971595882300415,0.1927259597013286,0.2160441430673565,poly1,0.09122128175325685,0.1203636065012188
ARB056,-0.469300340126336,-0.3838663521920109,0.1671754336485463,0.1671754336485463,poly3,0.030826495749791887,0.049391113260847226
ARB061,0.2808006749293319,0.1890461370755941,-1.9727696361822908,0.2808006749293319,poly1,0.160610184637362,0.1950514215018881
